scope,query_id,split,system,P@10,R@20,F1,NDCG@20,hallucinated_or_out_of_pool,total_tokens,latency_s
resolvable,RealScholarQuery_22,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_22,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_22,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_22,train,single_llm,0.0,0.0,0.0,0.0,0,1198,6.361625400008052
resolvable,RealScholarQuery_22,train,scholarloop_a_v2_no_rerank,0.1,0.3333333333333333,0.15384615384615383,0.14126697285982898,0,0,0.0
resolvable,RealScholarQuery_22,train,scholarloop_a_v2,0.0,0.3333333333333333,0.0,0.1125388887954676,0,0,9.715457099999185
resolvable,RealScholarQuery_23,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_23,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_23,train,neural_embedding_v2,0.0,1.0,0.0,0.33672884983294765,0,0,0.0
resolvable,RealScholarQuery_23,train,single_llm,0.0,0.0,0.0,0.0,0,1277,7.234659800000372
resolvable,RealScholarQuery_23,train,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_23,train,scholarloop_a_v2,0.0,0.5,0.0,0.14434031438272124,0,0,10.871089499996742
resolvable,RealScholarQuery_24,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_24,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_24,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_24,train,single_llm,0.1,0.1,0.10000000000000002,0.22009176629808017,0,1250,6.701163400008227
resolvable,RealScholarQuery_24,train,scholarloop_a_v2_no_rerank,0.2,0.3,0.24,0.3452672519426153,0,0,0.0
resolvable,RealScholarQuery_24,train,scholarloop_a_v2,0.1,0.1,0.10000000000000002,0.11004588314904008,0,0,8.648648100002902
resolvable,RealScholarQuery_25,train,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_25,train,bm25,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_25,train,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_25,train,single_llm,0.0,0.0,0.0,0.0,0,1639,10.631291300000157
resolvable,RealScholarQuery_25,train,scholarloop_a_v2_no_rerank,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_25,train,scholarloop_a_v2,0.0,0.0,0.0,0.0,0,0,12.991854199994123
resolvable,RealScholarQuery_26,holdout,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_26,holdout,bm25,0.2,1.0,0.33333333333333337,1.0,0,0,0.0
resolvable,RealScholarQuery_26,holdout,neural_embedding_v2,0.1,0.5,0.16666666666666669,0.6131471927654584,0,0,0.0
resolvable,RealScholarQuery_26,holdout,single_llm,0.2,1.0,0.33333333333333337,0.9197207891481876,0,2407,15.869906699997955
resolvable,RealScholarQuery_26,holdout,scholarloop_a_v2_no_rerank,0.2,1.0,0.33333333333333337,0.8503449055347546,0,0,0.0
resolvable,RealScholarQuery_26,holdout,scholarloop_a_v2,0.2,1.0,0.33333333333333337,0.8772153153380493,0,0,19.413184300006833
resolvable,RealScholarQuery_27,test,keyword,0.0,0.0,0.0,0.0,0,0,0.0
resolvable,RealScholarQuery_27,test,bm25,0.2,0.2222222222222222,0.2105263157894737,0.15887143153726957,0,0,0.0
resolvable,RealScholarQuery_27,test,neural_embedding_v2,0.0,0.0,0.0,0.0,0,0,0.0
